Case_ID,Class,URL
90317,"['great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']",http://www.mufoncms.com/files_jeud8334j/90317_submitter_file2__683CCBDE849845268707481CA4A382DC.png
90317,"['great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']",http://www.mufoncms.com/files_jeud8334j/90317_submitter_file3__762E8C458059439681ECC8B22B0EF68D.jpeg
90317,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/90317_submitter_file5__D99B73AD6F194C35949C94492C641008.png
91249,"['cliff, drop, drop-off']",http://www.mufoncms.com/files_jeud8334j/91249_submitter_file1__20170802115142.jpg
90764,['envelope'],http://www.mufoncms.com/files_jeud8334j/90764_submitter_file1__15497516101545422939269981340359641norig.jpg
90764,['envelope'],http://www.mufoncms.com/files_jeud8334j/90764_submitter_file2__15027553101544416060869988143549569421721014norig.jpg
4777,"['lakeside, lakeshore']",http://www.mufoncms.com/u2/files_jeud8334j/4777_submitter_file1__CRW_3981j_RJ.jpg
4773,"['flagpole, flagstaff']",http://www.mufoncms.com/u2/files_jeud8334j/4773_submitter_file1__triangle1.jpg
4773,"['flagpole, flagstaff']",http://www.mufoncms.com/u2/files_jeud8334j/4773_submitter_file2__triangle2.jpg
4771,"[""spider web, spider's web""]",http://www.mufoncms.com/u2/files_jeud8334j/4771_submitter_file1__UFO.jpg
90167,['magnetic compass'],http://www.mufoncms.com/files_jeud8334j/90167_submitter_file1__Screenshot1518304090653.jpg
91034,"['Polaroid camera, Polaroid Land camera']",http://www.mufoncms.com/files_jeud8334j/91034_submitter_file1__similarimage.jpg
91064,"['spotlight, spot']",http://www.mufoncms.com/files_jeud8334j/91064_submitter_file1__9F71096EC1CC4A10B23CDC17EBE3FAB2.jpeg
4610,['digital clock'],http://www.mufoncms.com/u2/files_jeud8334j/4610_submitter_file1__airp2.jpg
4610,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/u2/files_jeud8334j/4610_submitter_file2__gsrs.jpg
4610,"['jersey, T-shirt, tee shirt']",http://www.mufoncms.com/u2/files_jeud8334j/4610_submitter_file3__wetyt.jpg
4614,['comic book'],http://www.mufoncms.com/u2/files_jeud8334j/4614_submitter_file1__IAZrealityDying.jpg
4614,"['book jacket, dust cover, dust jacket, dust wrapper']",http://www.mufoncms.com/u2/files_jeud8334j/4614_submitter_file2__IAZitWas.jpg
4614,['envelope'],http://www.mufoncms.com/u2/files_jeud8334j/4614_submitter_file3__14401-229-Temple-in-Honor-t.jpg
4614,['manhole cover'],http://www.mufoncms.com/u2/files_jeud8334j/4614_submitter_file4__IAZSoundGate.jpg
4614,"['prayer rug, prayer mat']",http://www.mufoncms.com/u2/files_jeud8334j/4614_submitter_file5__IAZTempleSun.jpg
90307,"['binoculars, field glasses, opera glasses']",http://www.mufoncms.com/files_jeud8334j/90307_submitter_file1__Untitled1.jpg
90307,"['barrel, cask']",http://www.mufoncms.com/files_jeud8334j/90307_submitter_file2__Untitled.jpg
91148,"['spotlight, spot']",http://www.mufoncms.com/files_jeud8334j/91148_submitter_file1__20180401011446.jpg
91148,"['spotlight, spot']",http://www.mufoncms.com/files_jeud8334j/91148_submitter_file2__20180401011501.jpg
91148,"['spotlight, spot']",http://www.mufoncms.com/files_jeud8334j/91148_submitter_file3__20180401011503.jpg
91148,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/91148_submitter_file4__20180401011508.jpg
91148,"['spotlight, spot']",http://www.mufoncms.com/files_jeud8334j/91148_submitter_file5__20180401011511.jpg
91145,['bubble'],http://www.mufoncms.com/files_jeud8334j/91145_submitter_file1__551418D22AF54116A5144DD813224F1D.jpeg
91145,['wing'],http://www.mufoncms.com/files_jeud8334j/91145_submitter_file2__10AB009BA6324A458EF29FFFA1623035.jpeg
91140,['wing'],http://www.mufoncms.com/files_jeud8334j/91140_submitter_file1__EC3A1745C4774F348B8B541FB023AEDC.jpeg
90300,['wing'],http://www.mufoncms.com/files_jeud8334j/90300_submitter_file1__fotonoexif.jpg
90269,"['spotlight, spot']",http://www.mufoncms.com/files_jeud8334j/90269_submitter_file1__PIC1isawgreenlightloweringneedszoomedin.jpg
90269,"['cinema, movie theater, movie theatre, movie house, picture palace']",http://www.mufoncms.com/files_jeud8334j/90269_submitter_file2__PIC2....greenorbstilllowering.jpg
90269,['barn'],http://www.mufoncms.com/files_jeud8334j/90269_submitter_file3__PIC3..greenorbstillgoingdownisawit...needzoomin.jpg
90269,['fountain'],http://www.mufoncms.com/files_jeud8334j/90269_submitter_file4__PIC4greenlightstillloweringpurplelightlookslikeufonotastar.jpg
90505,['water snake'],http://www.mufoncms.com/files_jeud8334j/90505_submitter_file1__ufo1.jpg
90505,['projector'],http://www.mufoncms.com/files_jeud8334j/90505_submitter_file2__ufo2.jpg
90504,['pole'],http://www.mufoncms.com/files_jeud8334j/90504_submitter_file1__UFOOriginal21818.jpeg
90919,['rapeseed'],http://www.mufoncms.com/files_jeud8334j/90919_submitter_file1__download20180321094730.jpg
90915,"['liner, ocean liner']",http://www.mufoncms.com/files_jeud8334j/90915_submitter_file1__51307submitterfile1DSC0069.jpg
90266,['crane'],http://www.mufoncms.com/files_jeud8334j/90266_submitter_file2__ScreenShot20180216at8.43.29PM.png
90460,['castle'],http://www.mufoncms.com/files_jeud8334j/90460_submitter_file1__DSC1274c.jpg
90460,['castle'],http://www.mufoncms.com/files_jeud8334j/90460_submitter_file2__DSC1274h.jpg
90286,"['handkerchief, hankie, hanky, hankey']",http://www.mufoncms.com/files_jeud8334j/90286_submitter_file1__15189629330425666845.jpg
90287,['wing'],http://www.mufoncms.com/files_jeud8334j/90287_submitter_file1__4953DB2F337A4CBAADB3CE7E9792B33A.jpeg
90323,"['warplane, military plane']",http://www.mufoncms.com/files_jeud8334j/90323_submitter_file3__fullsizeoutput64.jpeg
90325,"['warplane, military plane']",http://www.mufoncms.com/files_jeud8334j/90325_submitter_file2__fullsizeoutput64.jpeg
90289,['balloon'],http://www.mufoncms.com/files_jeud8334j/90289_submitter_file1__20180101015557.jpg
90289,['car mirror'],http://www.mufoncms.com/files_jeud8334j/90289_submitter_file2__20180101014717.jpg
90289,['pole'],http://www.mufoncms.com/files_jeud8334j/90289_submitter_file3__20180101015608.jpg
90289,"['flagpole, flagstaff']",http://www.mufoncms.com/files_jeud8334j/90289_submitter_file4__20180121054458.jpg
91201,"['great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']",http://www.mufoncms.com/files_jeud8334j/91201_submitter_file1__IMG3480.jpg
90217,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/90217_submitter_file1__28053380202590190324196719752393n.jpg
90138,['suspension bridge'],http://www.mufoncms.com/files_jeud8334j/90138_submitter_file1__LakefrontUfoPenrose.jpg
90138,"['lakeside, lakeshore']",http://www.mufoncms.com/files_jeud8334j/90138_submitter_file2__LakefrontPenrose.jpg
90138,['barn'],http://www.mufoncms.com/files_jeud8334j/90138_submitter_file3__LakefrontUfoPenroseedgedetection.jpg
90138,['barn'],http://www.mufoncms.com/files_jeud8334j/90138_submitter_file4__LakefrontUfoPenroseedgedetectioncroppedsmaller.jpg
90135,"['mobile home, manufactured home']",http://www.mufoncms.com/files_jeud8334j/90135_submitter_file1__image.jpg
90135,['rapeseed'],http://www.mufoncms.com/files_jeud8334j/90135_submitter_file2__image.jpg
90135,"['traffic light, traffic signal, stoplight']",http://www.mufoncms.com/files_jeud8334j/90135_submitter_file3__image.jpg
90135,"['beacon, lighthouse, beacon light, pharos']",http://www.mufoncms.com/files_jeud8334j/90135_submitter_file4__image.jpg
90135,['fountain'],http://www.mufoncms.com/files_jeud8334j/90135_submitter_file5__image.jpg
90131,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/90131_submitter_file1__981764D39E5F428EA95F0924516CE890.png
90131,['wing'],http://www.mufoncms.com/files_jeud8334j/90131_submitter_file2__D117115F2BCE4A63BCA7277DADE3637D.png
90131,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/90131_submitter_file3__1B9196E103C947199B802BEF160833AC.png
90131,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/90131_submitter_file4__1FE437730CE6429392260B1DC47CB7C3.png
90131,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/90131_submitter_file5__1ABA7C3D75014CC9BA523DC01E7245E8.png
90131,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/90131_submitter_file6__1E47030C13A24236BEC73BFF0DAAD8B3.jpeg
90131,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/90131_submitter_file7__223097B11B85468C9604508E0897D048.jpeg
90132,"['cliff, drop, drop-off']",http://www.mufoncms.com/files_jeud8334j/90132_submitter_file1__ufo.jpg
90132,"['cliff, drop, drop-off']",http://www.mufoncms.com/files_jeud8334j/90132_submitter_file2__ufocloseup.jpg
4034,"['airship, dirigible']",http://www.mufoncms.com/u2/files_jeud8334j/4034_submitter_file1__whatIsaw.jpg
4039,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/u2/files_jeud8334j/4039_submitter_file2__ufo1.jpg
4039,"['spotlight, spot']",http://www.mufoncms.com/u2/files_jeud8334j/4039_submitter_file3__ufo.jpg
90661,['nail'],http://www.mufoncms.com/files_jeud8334j/90661_submitter_file1__20180121101317.jpg
90737,"['snowplow, snowplough']",http://www.mufoncms.com/files_jeud8334j/90737_submitter_file1__20180312195640.jpg
90737,"['snowplow, snowplough']",http://www.mufoncms.com/files_jeud8334j/90737_submitter_file2__20180312195643.jpg
90737,['cuirass'],http://www.mufoncms.com/files_jeud8334j/90737_submitter_file3__201803121956401.jpg
90737,"['snowplow, snowplough']",http://www.mufoncms.com/files_jeud8334j/90737_submitter_file4__20180312195648.jpg
90732,['comic book'],http://www.mufoncms.com/files_jeud8334j/90732_submitter_file1__Untitled.png
90731,"['jean, blue jean, denim']",http://www.mufoncms.com/files_jeud8334j/90731_submitter_file1__DC343D14209140D3B8AADD95EE49EA0D.png
90731,"['balance beam, beam']",http://www.mufoncms.com/files_jeud8334j/90731_submitter_file2__AE379AF0140F4B5889AE727F50EE4D70.png
90731,"['balance beam, beam']",http://www.mufoncms.com/files_jeud8334j/90731_submitter_file3__4CAB280F969343538423F9B0C16B11CF.png
90731,"['balance beam, beam']",http://www.mufoncms.com/files_jeud8334j/90731_submitter_file4__2CC8880F309748A7BD3CAE4544AB78FC.png
90731,"['jean, blue jean, denim']",http://www.mufoncms.com/files_jeud8334j/90731_submitter_file5__15A5EBCAFC8245DF91D59886C5B5B90D.png
4726,"['worm fence, snake fence, snake-rail fence, Virginia fence']",http://www.mufoncms.com/u2/files_jeud8334j/4726_submitter_file1__ufo1.jpg
4726,"['worm fence, snake fence, snake-rail fence, Virginia fence']",http://www.mufoncms.com/u2/files_jeud8334j/4726_submitter_file2__ufo2.jpg
4726,"['radio telescope, radio reflector']",http://www.mufoncms.com/u2/files_jeud8334j/4726_submitter_file3__ufo3.jpg
90251,"['spotlight, spot']",http://www.mufoncms.com/files_jeud8334j/90251_submitter_file1__Screenshot20180215201434.jpg
90251,"['spotlight, spot']",http://www.mufoncms.com/files_jeud8334j/90251_submitter_file2__Screenshot20180215201410.jpg
90956,['wing'],http://www.mufoncms.com/files_jeud8334j/90956_submitter_file1__9D3DB743B5134431B1EDBA9ADA2BA43A.jpeg
90956,['knot'],http://www.mufoncms.com/files_jeud8334j/90956_submitter_file2__039BCBEA4DEA41E3AC047AD5C2B54FBC.jpeg
90956,['geyser'],http://www.mufoncms.com/files_jeud8334j/90956_submitter_file3__B5EBFB2B91DC4CFEA68353DF03E1C2A1.jpeg
90956,['knot'],http://www.mufoncms.com/files_jeud8334j/90956_submitter_file4__7455813CE3354437A0AF26602E7515CD.jpeg
90956,['geyser'],http://www.mufoncms.com/files_jeud8334j/90956_submitter_file5__034B16D4B3E94980967CA2B8CF7B27B1.jpeg
90956,['fountain'],http://www.mufoncms.com/files_jeud8334j/90956_submitter_file6__AE486B24C81C47A4A4D0B6AA3FC29E1A.jpeg
90956,['wing'],http://www.mufoncms.com/files_jeud8334j/90956_submitter_file7__485E442EE780442BAD1E37717337AC02.jpeg
90956,['bubble'],http://www.mufoncms.com/files_jeud8334j/90956_submitter_file8__75DB65D0E07C4754A38016B66AED6CD8.jpeg
90959,"['sandbar, sand bar']",http://www.mufoncms.com/files_jeud8334j/90959_submitter_file1__0323180008HDR1.jpg
